RegionName,State,CountyName,Month,AverageHomePrice,Date
Snowflake,AZ,Navajo,1996-06,72800.0,1996-06-01
San Manuel,AZ,Pinal,1996-06,55900.0,1996-06-01
Three Points,AZ,Pima,1996-06,90100.0,1996-06-01
Rimrock,AZ,Yavapai,1996-06,89500.0,1996-06-01
New River,AZ,Maricopa,1996-06,144000.0,1996-06-01
Drexel-Alvernon,AZ,Pima,1996-06,67300.0,1996-06-01
Clarkdale,AZ,Yavapai,1996-06,118700.0,1996-06-01
Heber,AZ,Navajo,1996-06,84200.0,1996-06-01
Carefree,AZ,Maricopa,1996-06,314800.0,1996-06-01
Cornville,AZ,Yavapai,1996-06,120900.0,1996-06-01
Superior,AZ,Pinal,1996-06,40800.0,1996-06-01
Oracle,AZ,Pinal,1996-06,82800.0,1996-06-01
Amado,AZ,Pima,1996-06,82300.0,1996-06-01
Paulden,AZ,Yavapai,1996-06,95500.0,1996-06-01
Quartzsite,AZ,La Paz,1996-06,,1996-06-01
Rio Verde,AZ,Maricopa,1996-06,249200.0,1996-06-01
Pearce,AZ,Cochise,1996-06,60900.0,1996-06-01
Pine,AZ,Gila,1996-06,98400.0,1996-06-01
Kearny,AZ,Pinal,1996-06,,1996-06-01
Youngtown,AZ,Maricopa,1996-06,55100.0,1996-06-01
Pima,AZ,Graham,1996-06,76000.0,1996-06-01
Patagonia,AZ,Santa Cruz,1996-06,,1996-06-01
Vail,AZ,Pima,1996-06,140800.0,1996-06-01
Corona de Tucson,AZ,Pima,1996-06,119700.0,1996-06-01
Mayer,AZ,Yavapai,1996-06,70600.0,1996-06-01
Dewey-Humboldt,AZ,Yavapai,1996-06,116300.0,1996-06-01
Kirkland,AZ,Yavapai,1996-06,,1996-06-01
Black Canyon City,AZ,Yavapai,1996-06,75400.0,1996-06-01
Eagar,AZ,Apache,1996-06,,1996-06-01
Tombstone,AZ,Cochise,1996-06,67900.0,1996-06-01
Clifton,AZ,Greenlee,1996-06,28500.0,1996-06-01
Happy Jack,AZ,Coconino,1996-06,110000.0,1996-06-01
Saint David,AZ,Cochise,1996-06,79500.0,1996-06-01
Sonoita,AZ,Santa Cruz,1996-06,164100.0,1996-06-01
Star Valley,AZ,Gila,1996-06,95100.0,1996-06-01
Littletown,AZ,Pima,1996-06,,1996-06-01
Munds Park,AZ,Coconino,1996-06,122900.0,1996-06-01
Tubac,AZ,Santa Cruz,1996-06,154400.0,1996-06-01
Forest Lakes,AZ,Coconino,1996-06,112600.0,1996-06-01
Overgaard,AZ,Navajo,1996-06,,1996-06-01
Phoenix,AZ,Maricopa,1996-07,88400.0,1996-07-01
Tucson,AZ,Pima,1996-07,91500.0,1996-07-01
Mesa,AZ,Maricopa,1996-07,97400.0,1996-07-01
Chandler,AZ,Maricopa,1996-07,124900.0,1996-07-01
Glendale,AZ,Maricopa,1996-07,97200.0,1996-07-01
Gilbert,AZ,Maricopa,1996-07,130600.0,1996-07-01
Scottsdale,AZ,Maricopa,1996-07,178000.0,1996-07-01
Tempe,AZ,Maricopa,1996-07,96700.0,1996-07-01
Peoria,AZ,Maricopa,1996-07,117700.0,1996-07-01
Yuma,AZ,Yuma,1996-07,87900.0,1996-07-01
Queen Creek,AZ,Pinal,1996-07,,1996-07-01
Surprise,AZ,Maricopa,1996-07,116300.0,1996-07-01
Flagstaff,AZ,Coconino,1996-07,142800.0,1996-07-01
San Tan Valley,AZ,Pinal,1996-07,,1996-07-01
Casa Grande,AZ,Pinal,1996-07,83900.0,1996-07-01
Avondale,AZ,Maricopa,1996-07,102100.0,1996-07-01
Goodyear,AZ,Maricopa,1996-07,125200.0,1996-07-01
Lake Havasu City,AZ,Mohave,1996-07,88800.0,1996-07-01
Prescott,AZ,Yavapai,1996-07,149600.0,1996-07-01
Sierra Vista,AZ,Cochise,1996-07,100300.0,1996-07-01
